"","date","Price","meanf","naive","snaive","rwf","ses","holt","splinef","thetaf","ets","tbats","arima","nnetar"
"195",2018-07-15,36.333954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196",2018-07-16,36.490562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197",2018-07-17,36.588451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198",2018-07-18,37.557487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199",2018-07-19,37.322571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200",2018-07-20,37.077866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201",2018-07-21,37.077866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202",2018-07-22,37.077866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203",2018-07-23,37.234474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204",2018-07-24,36.656971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205",2018-07-25,37.381298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206",2018-07-26,39.172543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207",2018-07-27,38.849537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208",2018-07-28,38.849537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209",2018-07-29,38.849537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210",2018-07-30,38.144783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211",2018-07-31,38.702713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212",2018-08-01,37.332352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213",2018-08-02,37.126804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214",2018-08-03,37.606434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215",2018-08-04,37.606434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216",2018-08-05,37.606434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217",2018-08-06,37.694752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218",2018-08-07,37.547546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219",2018-08-08,37.66531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
